"","iso_ref","gene_ref","isoform_id","gene_id","condition_1","condition_2","gene_name","gene_biotype","iso_biotype","gene_overall_mean","gene_value_1","gene_value_2","gene_stderr_1","gene_stderr_2","gene_log2_fold_change","gene_q_value","iso_overall_mean","iso_value_1","iso_value_2","iso_stderr_1","iso_stderr_2","iso_log2_fold_change","iso_q_value","IF_overall","IF1","IF2","dIF","isoform_switch_q_value","gene_switch_q_value","PTC","codingPotentialValue","codingPotential","domain_identified","idr_identified","signal_peptide_identified","IR","switchConsequencesGene"
"120070","isoComp_00148867","geneComp_00036757","ENST00000417221.8","VPS33B-DT","UU","UT","VPS33B-DT","lncRNA","lncRNA",2.82879044659194,2.24284764104089,3.414733252143,0.395796339079752,0.394861339333731,0.604241874748431,NA,1.20038933085311,0.0276621378059241,2.37311652390029,0.0276621378059241,0.142201234720938,5.98359079086812,NA,0.3755,0.0213333333333333,0.729666666666667,0.708333333333333,3.44831465922799e-05,3.44831465922799e-05,NA,0.00080048630305802,FALSE,NA,NA,NA,0,FALSE
"65664","isoComp_00142198","geneComp_00035638","ENST00000543496.3","TPBG","UU","UT","TPBG","protein_coding","protein_coding",1.56402816240921,1.76720166035783,1.36085466446059,1.20786797381791,0.951355390992442,-0.374531767007003,NA,0.340075293733677,0.664918826646686,0.0152317608206682,0.322044374458425,0.015231704670042,-4.74140120312822,NA,0.432,0.781666666666667,0.0823333333333333,-0.699333333333333,0.00356765254813697,0.00356765254813697,FALSE,0.99999402484094,TRUE,"yes","no","yes",0,FALSE
"61917","isoComp_00040152","geneComp_00015545","ENST00000361530.11","CNKSR1","UU","UT","CNKSR1","protein_coding","protein_coding",5.08251441388032,5.58748561589895,4.57754321186169,0.755845024314996,1.1552857751818,-0.2870571683987,NA,0.966203572223736,0.0765304633629725,1.8558766810845,0.0758676360704814,0.326907358409925,4.4305017007943,NA,0.284666666666667,0,0.569333333333333,0.569333333333333,0.00178881310222835,2.50759542695513e-07,FALSE,0.99999999892159,TRUE,"yes","yes","no",0,FALSE
"96550","isoComp_00116528","geneComp_00030026","ENST00000312499.6","RMI2","UU","UT","RMI2","protein_coding","protein_coding",5.6611739425971,2.88825048773844,8.43409739745577,0.957442152722645,1.08728419958735,1.54276093097057,NA,2.94292461191864,2.56949448808312,3.31635473575417,0.822188083128082,1.31157280678248,0.366853667877315,NA,0.673666666666667,0.950666666666667,0.396666666666667,-0.554,0.000454789682091753,4.76026020192304e-09,FALSE,0.92724881505535,TRUE,"yes","no","no",0,TRUE
"120072","isoComp_00148869","geneComp_00036757","ENST00000556904.5","VPS33B-DT","UU","UT","VPS33B-DT","lncRNA","lncRNA",2.82879044659194,2.24284764104089,3.414733252143,0.395796339079752,0.394861339333731,0.604241874748431,NA,0.881622610494563,1.39451818276082,0.36872703822831,0.401284725674827,0.227456392102414,-1.89084497412169,NA,0.332833333333333,0.589666666666667,0.076,-0.513666666666667,0.0114168975584084,3.44831465922799e-05,NA,0.00023567485392226,FALSE,NA,NA,NA,0,FALSE
"91290","isoComp_00116389","geneComp_00029999","ENST00000506682.5","RIOX2","UU","UT","RIOX2","protein_coding","retained_intron",1.2542310446709,1.3405072238099,1.1679548655319,0.597921142570844,0.331855516255461,-0.197217094800353,NA,0.254859404746783,0.500821286188247,0.00889752330531924,0.0919508250601922,0.00889752330531924,-4.75654957068461,NA,0.232166666666667,0.453666666666667,0.0106666666666667,-0.443,0.00533737256954751,0.00533737256954751,NA,0.49515736990724,FALSE,NA,NA,NA,1,TRUE
"21410","isoComp_00063164","geneComp_00019437","ENST00000447366.5","GPR143","UU","UT","GPR143","protein_coding","protein_coding",1.70073942350537,1.47410385131767,1.92737499569306,0.598058773267851,0.627150910757355,0.384511177882524,NA,0.332504999914859,0,0.665009999829718,0,0.263570425844684,6.07683696978844,NA,0.220833333333333,0,0.441666666666667,0.441666666666667,0.0109315051949575,0.0109315051949575,FALSE,0.99572901184334,TRUE,"yes","no","no",0,TRUE
"115490","isoComp_00030684","geneComp_00013988","ENST00000367393.8","C1orf53","UU","UT","C1orf53","protein_coding","protein_coding",2.24771166421293,2.64949141531591,1.84593191310994,0.382536780177794,0.224281596027461,-0.519006595436918,NA,1.55610103679574,1.26860315798853,1.84359891560296,0.0620041846009628,0.226491104616451,0.53576054307299,NA,0.783,0.567666666666667,0.998333333333333,0.430666666666667,1.52417401180134e-08,1.52417401180134e-08,NA,0.33879281845659,FALSE,NA,NA,NA,0,FALSE
"54507","isoComp_00088614","geneComp_00025215","ENST00000404774.7","MMD2","UU","UT","MMD2","protein_coding","protein_coding",1.68088471234909,1.8976467036972,1.46412272100099,0.808972406512916,0.424134086525575,-0.371937374786374,NA,0.174184090677801,0,0.348368181355603,0,0.0674159759932261,5.16337064456441,NA,0.223833333333333,0.00933333333333333,0.438333333333333,0.429,0.0219590052307391,0.0219590052307391,FALSE,0.99898015562648,TRUE,"yes","no","no",0,TRUE
"61918","isoComp_00040153","geneComp_00015545","ENST00000374253.9","CNKSR1","UU","UT","CNKSR1","protein_coding","protein_coding",5.08251441388032,5.58748561589895,4.57754321186169,0.755845024314996,1.1552857751818,-0.2870571683987,NA,0.851759507842986,1.70351901568597,0,0.427196008022126,0,-7.42081839195199,NA,0.225166666666667,0.436333333333333,0.014,-0.422333333333333,2.50759542695513e-07,2.50759542695513e-07,FALSE,0.99999999924899,TRUE,"yes","yes","no",0,FALSE
